"","name","birthyear","taste","height","weight","gender"
"1","Marcela",2013,"Study",1.79,125,"O"
"2","João",1981,"Chess",2.6,97,"M"
"3","David",2019,"Food",1.67,70,"M"
"5","Lucas",1980,"Guitar",1.95,83,"M"
"4","Cesar",2013,"Cats",2.9,86,"O"
"6","Paulo",2017,"Games",2.52,102,"M"
"7","João",1966,"Games",2.85,90,"M"
"8","Lucas",1997,"Dogs",1.59,99,"O"
"9","Luis",1963,"Dogs",1.53,61,"M"
"10","Rogério",1955,"Games",1.61,91,"O"
"11","Cesar",1994,"Magic",1.66,89,"M"
"12","Letícia",1993,"Chess",2.57,100,"O"
"13","Paulo",2016,"Games",2.97,95,"O"
"14","Matheus",1969,"Guitar",1.83,97,"O"
"15","Rogério",1980,"Movie",1.64,76,"M"
"16","Ariel",1965,"Chess",1.61,101,"O"
"17","David",1988,"Travel",1.59,87,"M"
"18","Ariel",2005,"Chess",1.71,64,"F"
"19","Marina",1981,"Magic",1.81,126,"F"
"20","Ariel",1982,"Games",2.94,59,"M"
"21","Paulo",2007,"Dogs",2.68,107,"O"
"22","Marcela",1989,"Cats",1.78,82,"F"
"24","Kátia",2001,"Guitar",2.94,95,"F"
"23","Paulo",2015,"Guitar",2.8,125,"M"
"25","David",1989,"Food",1.55,80,"M"
"26","David",1965,"Games",1.85,107,"M"
"27","Kátia",2013,"Dogs",2.97,108,"O"
"28","Letícia",2016,"Sports",1.81,63,"O"
"29","João",1976,"Dogs",1.79,58,"M"
"30","Daniela",1990,"Cats",2.7,87,"F"
"31","Letícia",2003,"Cats",1.86,79,"O"
"32","Lucas",1973,"Food",2.6,77,"M"
"33","Kátia",1971,"Study",2.8,112,"F"
"34","Ricardo",1973,"Games",1.78,89,"O"
"35","Letícia",2012,"Travel",2.93,84,"F"
"36","Letícia",1961,"Magic",2.64,93,"F"
"37","Marina",2007,"Magic",1.53,71,"O"
"38","Lucas",1991,"Chess",1.62,123,"O"
"39","Felipe",1965,"Chess",1.99,61,"O"
"40","Marina",2013,"Sports",2.8,84,"F"
"42","Daniela",1995,"Magic",2.86,85,"F"
"41","Nathália",1967,"Guitar",1.8,86,"O"
"44","Marcela",2020,"Cats",1.58,95,"F"
"43","Ariel",2002,"Travel",1.74,76,"O"
"46","Rogério",1973,"Guitar",1.56,93,"M"
"47","Lucas",1985,"Chess",2.83,95,"M"
"48","Marina",2020,"Dogs",2.93,88,"F"
"50","Felipe",1992,"Food",2.67,125,"M"
"51","João",1972,"Travel",2.93,76,"M"
"45","Ariel",2004,"Games",2.83,91,"M"
"49","Luis",1991,"Cats",1.96,92,"O"
"52","Larissa",1993,"Food",2.74,95,"O"
"54","Felipe",1969,"Chess",1.77,129,"O"
"56","Lucas",2011,"Travel",1.98,116,"M"
"53","João",2007,"Magic",1.68,125,"O"
"55","Marcela",2010,"Travel",1.54,69,"O"
"57","Luis",2017,"Study",2.82,87,"M"
"59","Paulo",1983,"Sports",2.65,77,"O"
"61","Rogério",1975,"Cats",1.87,96,"M"
"58","Ariel",1998,"Guitar",1.85,107,"O"
"60","Felipe",1957,"Movie",1.66,102,"M"
"62","Lucas",1979,"Chess",2.83,110,"M"
"63","Larissa",1968,"Sports",2.52,105,"O"
"64","Nathália",2016,"Guitar",2.58,57,"F"
"65","João",1963,"Sports",1.82,89,"O"
"66","Letícia",2011,"Chess",1.96,72,"F"
"67","Melissa",2000,"Dogs",2.6,67,"O"
"68","Nathália",1956,"Cats",1.98,123,"F"
"69","Melissa",1976,"Study",2.7,104,"F"
"71","Felipe",1966,"Chess",1.64,67,"M"
"70","Ariel",1964,"Food",1.97,117,"F"
"72","Ricardo",1985,"Chess",1.81,103,"M"
"73","David",1975,"Sports",2.7,121,"O"
"74","Lucas",1974,"Movie",2.62,63,"M"
"75","Cesar",1987,"Sports",1.57,129,"O"
"76","Letícia",1999,"Travel",1.74,106,"O"
"77","Lucas",2000,"Guitar",2.57,126,"M"
"78","Felipe",1967,"Travel",2.7,113,"O"
"80","Lucas",1973,"Movie",1.74,105,"M"
"81","Rogério",1990,"Cats",1.71,92,"M"
"82","Rogério",2020,"Food",1.51,91,"O"
"79","Kátia",1969,"Study",1.99,77,"O"
"83","Felipe",1994,"Guitar",1.77,114,"M"
"84","Paulo",1972,"Study",1.91,87,"M"
"86","Paulo",1958,"Guitar",1.86,104,"M"
"85","Nina",1989,"Magic",2.95,112,"F"
"87","Kátia",2011,"Study",2.62,100,"F"
"88","Nathália",2007,"Chess",1.64,124,"O"
"90","Luis",1958,"Games",2.69,103,"O"
"91","Paulo",1979,"Magic",2.82,110,"M"
"92","Ricardo",1979,"Movie",2.6,70,"O"
"89","Paulo",1985,"Guitar",1.88,92,"O"
"93","Luis",2011,"Games",2.81,109,"O"
"95","João",1983,"Chess",1.65,110,"O"
"94","Felipe",1995,"Study",2.75,83,"M"
"97","Ariel",1968,"Chess",2.68,69,"F"
"96","Ariel",1973,"Chess",1.7,119,"F"
"98","Paulo",2004,"Chess",1.53,130,"O"
"100","Marcela",1971,"Games",1.81,111,"F"
"99","Larissa",1986,"Dogs",1.52,85,"F"
"101","Daniel",2002,"Cats",2.95,125,"M"
"102","Letícia",1963,"Movie",1.68,65,"F"
"103","Nina",2002,"Magic",2.94,124,"F"
"105","David",2014,"Games",2.76,57,"M"
"104","Marina",1984,"Magic",2.65,57,"F"
"106","Kátia",1973,"Chess",1.81,129,"F"
"109","Marcela",1976,"Chess",2.53,96,"F"
"108","Ariel",2001,"Chess",1.98,94,"M"
"107","Lucas",2010,"Magic",1.71,126,"O"
"110","Nathália",1987,"Travel",2.62,116,"F"
"111","Cesar",1995,"Sports",1.85,82,"M"
"112","Letícia",1956,"Travel",1.83,64,"O"
"114","Luis",1979,"Sports",2.6,61,"M"
"113","Daniela",2004,"Movie",2.73,57,"F"
"115","João",2020,"Dogs",2.66,72,"M"
"116","Lucas",2002,"Study",1.85,95,"O"
"117","Luis",1992,"Movie",1.91,86,"M"
"118","Ricardo",1965,"Chess",1.71,75,"M"
"120","Luis",1958,"Sports",1.51,89,"M"
"119","Daniela",2009,"Travel",1.61,112,"F"
"121","Paulo",2008,"Study",1.69,116,"O"
"122","Lucas",2010,"Travel",2.59,103,"M"
"123","Marcela",1961,"Movie",2.52,69,"F"
"125","David",1993,"Dogs",2.87,57,"M"
"124","Letícia",2018,"Chess",1.59,102,"F"
"127","Marcela",1968,"Cats",2.5,92,"O"
"126","Nathália",1979,"Guitar",2.83,130,"F"
"130","Marcela",2011,"Study",1.82,113,"F"
"128","Nina",1999,"Magic",2.5,114,"F"
"129","Melissa",1980,"Magic",1.99,120,"F"
"131","Lucas",2000,"Guitar",2.53,57,"M"
"132","Marcela",1976,"Movie",1.83,110,"F"
"133","Marina",1976,"Guitar",1.6,120,"O"
"135","Ricardo",1999,"Movie",1.52,98,"M"
"134","Ricardo",1990,"Travel",1.95,105,"M"
"137","Nina",1969,"Magic",1.8,116,"F"
"136","Kátia",2013,"Games",2.65,125,"F"
"138","David",2017,"Travel",2.67,104,"M"
"139","Nathália",1977,"Chess",1.61,75,"F"
"140","Rogério",2020,"Study",1.66,118,"M"
"141","Cesar",1964,"Sports",2.62,58,"M"
"142","Luis",1986,"Cats",2.86,99,"M"
"144","Luis",1981,"Games",2.53,126,"M"
"143","Nathália",1988,"Study",1.78,98,"F"
"145","Larissa",1970,"Dogs",2.74,116,"F"
"147","Kátia",2010,"Food",2.64,116,"F"
"146","Lucas",1971,"Dogs",2.99,78,"O"
"148","Daniela",1988,"Magic",1.72,66,"F"
"149","Marcela",2019,"Magic",1.76,121,"O"
"150","Rogério",1971,"Food",2.51,125,"O"
"151","Matheus",2015,"Dogs",2.61,89,"M"
"152","Marina",1973,"Travel",2.96,130,"O"
"154","Marina",1967,"Travel",1.85,124,"O"
"153","Ricardo",1963,"Food",2.95,118,"M"
"155","Daniela",1991,"Sports",1.57,106,"F"
"156","Ariel",1956,"Sports",1.8,85,"F"
"157","Matheus",2012,"Study",1.72,64,"M"
"159","Ariel",2018,"Chess",1.83,110,"F"
"158","Nina",1986,"Travel",1.56,72,"O"
"160","Felipe",1974,"Dogs",2.87,66,"O"
"161","Ariel",1959,"Travel",2.68,68,"M"
"162","Lucas",1969,"Games",1.8,114,"O"
"163","Nathália",2015,"Games",2.52,95,"F"
"164","Marina",1971,"Travel",2.6,81,"O"
"165","Larissa",2010,"Games",2.74,83,"O"
"166","Nathália",1956,"Movie",1.95,103,"O"
"168","Rogério",2003,"Study",1.61,99,"M"
"167","Daniela",1966,"Chess",2.66,130,"F"
"169","Daniel",2011,"Cats",2.51,80,"M"
"170","Ariel",2014,"Dogs",2.97,87,"F"
"171","Matheus",1988,"Chess",2.86,121,"M"
"173","Rogério",1966,"Study",2.71,74,"O"
"172","Ariel",1970,"Study",2.71,87,"O"
"174","Felipe",2003,"Food",1.72,97,"O"
"175","Luis",1984,"Cats",1.78,69,"M"
"176","Ariel",1990,"Chess",2.76,107,"M"
"177","Paulo",1967,"Sports",1.72,121,"M"
"178","Letícia",1987,"Food",1.69,82,"O"
"179","Larissa",2010,"Dogs",1.77,97,"F"
"180","David",1999,"Guitar",2.81,123,"M"
"181","Ariel",2005,"Food",2.77,117,"M"
"183","Matheus",1989,"Dogs",1.86,71,"M"
"182","Kátia",1993,"Guitar",1.93,74,"F"
"184","Ariel",1956,"Food",1.98,87,"F"
"186","Ariel",1979,"Sports",2.68,78,"M"
"185","Lucas",1983,"Cats",1.63,56,"M"
"188","Larissa",2016,"Travel",1.86,69,"F"
"187","Lucas",2010,"Movie",1.96,66,"M"
"189","Lucas",2011,"Games",1.91,66,"O"
"192","Daniel",1993,"Games",2.58,108,"M"
"190","Lucas",1958,"Movie",1.89,121,"M"
"191","Marcela",2000,"Chess",1.97,90,"F"
"193","Marcela",2016,"Chess",1.85,123,"O"
"194","David",2015,"Food",1.54,116,"M"
"197","Matheus",1967,"Cats",2.73,129,"M"
"195","Larissa",1973,"Magic",2.59,93,"F"
"196","Lucas",2000,"Games",2.62,112,"M"
"199","Daniela",1992,"Chess",1.9,117,"F"
"198","Marina",1994,"Movie",2.92,61,"F"
"201","Ariel",1963,"Cats",1.96,127,"M"
"200","David",1963,"Movie",2.92,109,"M"
"202","Ariel",1997,"Magic",2.76,81,"O"
"203","Marcela",2019,"Guitar",2.94,87,"O"
"204","Kátia",1955,"Dogs",2.68,118,"F"
"206","Paulo",1965,"Food",1.52,89,"M"
"205","Letícia",1987,"Food",1.55,130,"O"
"208","Matheus",2018,"Dogs",2.97,110,"M"
"207","Lucas",1996,"Games",1.65,72,"M"
"209","Luis",1956,"Games",2.67,67,"O"
"210","Matheus",1998,"Cats",2.76,113,"M"
"211","Larissa",2015,"Travel",2.92,97,"F"
"212","Letícia",2016,"Food",2.88,108,"F"
"213","Matheus",1993,"Games",1.92,114,"M"
"215","Felipe",1969,"Travel",1.69,72,"M"
"214","Daniela",2003,"Chess",1.51,78,"F"
"217","Nina",1990,"Sports",1.94,71,"O"
"216","Lucas",2017,"Travel",2.91,97,"M"
"218","Kátia",2005,"Movie",2.91,103,"F"
"219","Kátia",1999,"Food",2.55,72,"O"
"220","Matheus",1981,"Chess",1.98,110,"M"
"222","Nina",2007,"Study",1.63,121,"F"
"223","Letícia",1974,"Sports",2.55,107,"O"
"224","Ariel",1958,"Travel",1.5,128,"F"
"221","Nathália",1983,"Movie",1.94,99,"O"
"225","Letícia",2005,"Study",1.91,83,"O"
"229","Letícia",1962,"Movie",1.54,73,"F"
"226","Marina",1960,"Dogs",2.56,98,"F"
"228","Luis",2012,"Games",1.99,114,"O"
"227","Felipe",2016,"Movie",1.89,122,"O"
"230","David",2012,"Study",1.64,77,"M"
"232","Daniel",1995,"Guitar",2.57,116,"M"
"231","Nathália",2016,"Games",2.76,106,"F"
"233","Paulo",1982,"Sports",1.62,66,"M"
"234","Ariel",2001,"Study",2.66,112,"O"
"237","Marina",1981,"Food",1.56,81,"F"
"238","Nina",2013,"Guitar",1.64,106,"O"
"236","Felipe",1960,"Cats",2.61,128,"M"
"235","Letícia",2002,"Study",2.83,107,"O"
"240","Melissa",1959,"Food",2.77,70,"F"
"239","Rogério",1957,"Chess",2.61,87,"O"
"243","Nina",1996,"Cats",2.73,90,"O"
"241","Ariel",2011,"Sports",1.79,63,"O"
"244","Rogério",2004,"Dogs",1.86,128,"O"
"245","Lucas",1959,"Games",1.78,126,"M"
"242","Daniel",1957,"Games",1.7,57,"O"
"246","Nathália",1961,"Study",2.82,57,"F"
"247","Felipe",1981,"Dogs",2.92,77,"M"
"248","David",1988,"Movie",2.77,101,"M"
"249","Rogério",2005,"Dogs",2.71,91,"O"
"250","Kátia",2002,"Sports",2.62,113,"F"
"251","Rogério",1977,"Games",2.79,110,"M"
"253","Lucas",1975,"Games",2.95,124,"M"
"252","João",1983,"Games",2.91,74,"M"
"255","João",2018,"Magic",2.77,108,"M"
"254","João",2001,"Magic",1.57,105,"M"
"256","Daniel",1977,"Study",1.71,116,"M"
"257","Marina",1955,"Guitar",2.89,85,"F"
"258","Melissa",2019,"Dogs",2.54,83,"F"
"259","Letícia",1973,"Dogs",1.56,120,"F"
"260","Rogério",1976,"Cats",1.95,67,"M"
"261","Matheus",1999,"Sports",2.58,88,"M"
"262","Paulo",1983,"Travel",1.66,107,"M"
"264","Marina",2019,"Food",1.61,102,"F"
"265","Nathália",1956,"Food",2.55,77,"F"
